chunom,translation
輕𠫾𥚯吏如𢭹𬛘胱,khinh đi rẻ lại như lần trôn quang
𣳔次哿盛昆昆,giòng thứ cả thịnh
十五日克寬回至鎮南交䦕明左江官差委官王建立投𮞏公文赴京師,"thập ngũ nhật, khắc khoan hồi chí trấn nam giao quan, minh tả giang quan sai uỷ quan vương kiến lập đầu đệ công văn phó kinh sư"
陪陪众菩蕯,bằng bụi bụi chúng bồ tát
店秋刻潙更殘,đêm thu khắc vợỉ canh tàn
味俗𥚇痺辛苦塘世途𨃴𬧙嶇,mùi tục lụy lưỡi tê tân khổ. đường thế đồ gót rỗ kỳ khu
日燏通諸,nhật duật thông chư
数柴柴底朱𧋆奴跑,số thầy thầy để cho ruồi nó bâu
况余與汝等生於擾攘之秋長於󰓎難之際竊見偽使徃來道途旁午掉鴞鳥之寸舌而凌辱朝廷委犬羊之尺軀而倨傲宰輔,"huống dư dữ nhữ đẳng sinh ư nhiễu nhương chi thu, trưởng ư gian nan chi tế, thiết kiến nguỵ sứ vãng lai đạo đồ bàng ngọ trạo kiêu điểu chi thốn thiệt nhi lăng nhục triều đình uỷ khuyển dương chi xích khu nhi cự ngạo tể phụ"
貪婪拯計固埃𫀅𠊛平𦹵𫀅𡗶凭𡍙,"tham lam chẳng kể có ai. xem người bằng cỏ, xem trời bằng vung"
帝呼天三聲督戰賊自敗,"đế hô thiên tam thanh đốc chiến, tặc tự bại"
命𰎟山縣作石人以敬主石為之二月帝如較塲閲武,mệnh giáp sơn huyện tác thạch nhân dĩ kính chủ thạch vi chi kính chủ sơn danh nhị nguyệt đế như giảo trường duyệt võ
如𠁂󰅹𬲢昆伮𥙩濫絆󰮉𢬣蹎伮拱折八𠫾,"như đứa nào nhiều con, nó lấy làm bấn bít tay chân, nó cũng giết bớt đi"
駢㨿我府稱王築羅城周回一千九百八十二丈零五尺城身髙,"biền cứ ngã phủ xưng vương, trúc la thành chu hồi nhất thiên cửu bách bát thập nhị trượng linh ngũ xích, thành thân cao"
為此陳奏除雜居無類應斥却外其原有市肆庯舍前續入税額且許居住販賣營生許入本坊入税如例,"vi thử, trần tấu trừ tạp cư vô loại, ứng xích khước ngoại, kì nguyên hữu thị tứ, bô xá, tiền tục nhập thuế ngạch, thả hứa cư trú phán mại doanh sinh, hứa nhập bản phường nhập thuế như lệ"
今天下習尚文飾,kim thiên hạ tập thượng văn sức
我軍圍山三日賊多餓死,"ngã quân vi sơn tam nhật, tặc đa ngạ tử"
爫朱朋所体所咍,làm cho bằng thửa thấy thửa hay
裴公𢜠逴𠓨茄,bùi công mừng rước vào nhà
𥙩調情𫇰交,lấy đều tình cựu giao
襖撑隊帽絁,đội mũ the
爲此伏乞海陽山南三江京北四處承宣使司類取該内當農人添補厨人如前番例人数以便應務,"vị thử, phục khất hải dương, sơn nam, tam giang, kinh bắc tứ xứ thừa tuyên sứ ti, loại thủ cai nội đương nông nhân thiêm bổ trù nhân, như tiền phiên lệ nhân sổ dĩ tiện ưng vụ"
假爫噒哭𠳿𡗶𤤰牢女負眾碎𢧚𢚸,giả làm rên khóc vỉ trời. vua sao nỡ phụ chúng tôi nên lòng
脱有𫎇韃之㓂來䧺鷄之距不足以穿虜甲賭博之術不足以施軍謀田園之富不足以贖千金之軀妻孥之累不足以充軍國之用生産之多不足以購虜首獵犬之力不足以驅,"thoát hữu mông thát chi khấu lai hùng kê chi cự bất túc dĩ xuyên lỗ giáp, đổ bạc chi thuật bất túc dĩ thi quân mưu, điền viên chi phú bất túc dĩ chuộc thiên kim chi khu, thê nô chi luỵ bất túc dĩ sung quân quốc chi dụng, sinh sản chi đa bất túc dĩ cấu lỗ thủ, liệp khuyển chi lực bất túc dĩ khu"
甲戌二年宋咸淳十年〇元至元十一年秋七月大水〇,"giáp tuất nhị niên, tống hàm thuần thập niên, nguyên chí nguyên thập nhất niên, thu thất nguyệt, đại thuỷ"
檜核𡎢烘沫,tựa cội cây ngồi hóng mát
𠸦埃擼裊迻朱昆𣵰𤂬坡棱細低,khen ai trỏ nẻo đưa chừng. cho con lặn lội pha rừng tới đây
仍所電报𪧚吏空𢭮𠫾,nhưng sở điện báo giữ lại không gửi đi
涅停燶艿倍傍,nết đừng nóng nảy vội vàng
駭徔且㐌倍鐄之,hãy thong thả đã vội vàng chi
禄特包饒咹閉饒,lộc được bao nhiêu ăn bấy nhiêu
鄠之初至也殺蠻酋杜澄故其宗黨因誘導羣蠻𨺻州,"hộ chi sơ chí dã, sát man tù đỗ trừng, cố kì tông đảng nhân dụ đạo quần man thao châu"
茶力跬㐌悶某,sức khỏe đã mòn mỏi
𠄩蹎蹅𫴋能能𢭪,hai chân đạp xuống năng năng nhắc
襖󱭢除󰅒𠀧𣎃冷,áo kép chờ nay ba tháng lạnh
玄光修𫢋於边厨,huyên quang tu phật ở bên chùa
𠃩囬問曰如圍䋦絲,chín hồi vấn vít như vầy mối tơ
𤐝細彊添𤏣䏾𦎛,soi tới càng thêm tỏ bóng gương
肩𦠘額𩈪眉󰜣舌𦧜,kiên vai. ngạch trán. mi mày. thiệt lưỡi
云仙嘆哭我凌,vân tiên than khóc ngã lăn
蔑𣈘󱞺𧡊仃仃,một đêm mơ thấy rành rành
忍旦官連共奔半𧜖挼穭蚕各每調,nhẫn đến quan trên cùng buôn bán chăn nuôi lúa tằm các mọi điều
十二月遣師如明黎公路,"thập nhị nguyệt, khiển sư như minh lê công lộ"
又命頼世貴将兵攻破太原髙平等處俘獲偽将祈山王福王缺等併殺之,"hựu mệnh lại thế quý tương binh công phá thái nguyên, cao bằng đẳng xứ, phu hoạch nguỵ tướng kì sơn vương, phúc vương tịnh danh khuyết đẳng tinh sát chi"
風流退𫇰江湖性初,"phong lưu thói cũ, giang hồ tính xưa"
󰖽錦熙熙丰糁幅香𡗶滂滂捤和岸,vẻ gấm hây hây phong tám bức. hương trời phảng phảng vẩy hoà ngàn
弘裕大敗死者甚眾,"hoằng dụ đại bại, tử giả thậm chúng"
自為前隊諸水軍隨後陸續󰱥進,"tự vi tiền đội, chư thuỷ quân tuỳ hậu lục tục kế tiến"
模杉𠨡杉󰬲杉,mu sam. trứng sam. đuôi sam
鸌矧疎尋内夐,vạc thẩn thơ tìm nội quạnh
夏四月會試天下士人,"hạ, tứ nguyệt, hội thí thiên hạ sĩ nhân"
㐌𠇮典准尼朱安,đã mình đến chốn này cho yên
󱫕香羅油𢯰,dải hương là dầu trút
𧋻𧐸𧐸,rắn điu điu
本月十七日分差将士由二道進擊,"bản nguyệt, thập thất nhật, phân sai tướng sĩ do nhị đạo tiến kích"
李紀起庚戌至乙酉年凣二百十六年,"lý kỷ khởi canh tuất chí ất dậu niên, phàm nhị bách thập lục niên"
棱禅乙𧡊年覃蔭唐世󰅹尼庄𥰊高,rừng thiền ắt thấy nên đầm ấm. đường thế nào nơi chẳng thấp cao
定春正月范秉彛率虅州快州人攻猷,"định xuân chính nguyệt, phạm bỉnh di suất đằng châu, khoái châu nhân công du"
二十日寢陵有事命工部尚書范瑜往祭弘佑廟,"nhị thập nhật, tẩm lăng hữu sự, mệnh công bộ thượng thư phạm du vãng tế hoằng hựu miếu"
伵柴皮細外墻,tớ thầy vừa tới ngoài đường
𧚠襖,sống áo
鄕上侯三人黎理黎文靈黎國𦥷,"hương thượng hầu tam nhân lê lí, lê văn linh, lê quốc hưng"
税倘儈𢯏鎖󱤈󰁇碧拯傷旦鐄派玉湼女爫朱𧊉󱋓螉𠴔,thuê thằng cuội bẻ khóa buồng ngưng bích. chẳng thương đến vàng phai ngọc nát. nỡ làm cho bướm chán ong chường
癸酉十一年,quý dậu thập nhất niên minh cảnh thái tứ niên
命之曰白龍神馬,mệnh chi viết bạch long thần mã
𠤆群𥾽緬和𥹰,chớ còn bịn rịn hoà lâu
丐𦎛人事纏纏,cái gương nhân sự chiền chiền
其或崩薨禪讓在某年之春夏則是年爲後帝後王在位之首年而春夏之月爲前帝前王之奇零月如崩薨禪讓在嵗終逆數在位之年猶有不盡之月亦爲奇零月,"kì hoặc băng hoăng thiền nhượng tại mỗ niên chi xuân hạ, tắc thị niên vi hậu đế hậu vương tại vị chi thủ niên, nhi xuân hạ chi nguyệt vi tiền đế tiền vương chi kì linh nguyệt, như băng hoăng thiền nhượng tại tuế chung, nghịch số tại vị chi niên do bất tận chi nguyệt, diệc vi kì linh nguyệt"
固埃厭𠳨仙王母信可信𪰛疑可疑,có ai ướm hỏi tiên vương mẫu. tin khả tin thời ngờ khả ngờ
𥙩調道𭓇𠳨税,lấy điều đạo học hỏi thuê
買台𡽫渃車𣾺,mới hay non nước xa khơi
免戈夏免侖冬,"miễn qua hạ, miễn lọn đông"
𦽎桃花𠵌㗂竹默𫵞麻𢀨,"lộc đào hoa, nghe tiếng trúc, mặc vẻ mà sang"
畑誇畑𤍊欣𦝄畑𫥨𥪸𩙌特𠲕咳畑,đèn khoe đèn tỏ hơn trăng. đèn ra đứng gió được chăng hỡi đèn
人兵卒皆走,"nhân, binh tốt giai tẩu"
破破岸箕𢫘𠮾批批𡓁怒𣳮腥𦞣,phới phới ngàn kia so ngút ngút. phây phây bãi nọ rửa tanh tao
芸斈𠳨恰𢌌,nghề học hỏi khắp rộng
㲸遏塘仍沐,ướt át đường những móc
䘮主𫀅凭䘮吒恪󰅹,tang chúa xem bằng tang cha khác nào
甎󱌔,chuyên gạch
娘翠綃囉𪽝𣳔娼兒,nàng thúy tiêu ra bởi dòng xướng nhi
法公據炤律𡗶,phép công cứ chiếu luật trời
少尉黎可等守東門司徒黎禮守南門太監黎極領鉄突二衛衙宜福等守西門少尉黎篆領軍二衛守北門圍攻東都城,"thiếu uý lê khả đẳng thủ đông môn, tư đồ lê lễ thủ nam môn, thái giám lê cực lĩnh thiết đột nhị vệ nha nghi phúc đẳng thủ tây môn, thiếu uý lê triện lĩnh quân nhị vệ thủ bắc môn, vi công đông đô thành"
援𩄲𧿆㳥闭𣇞仕咍,vén mây dẫy sóng bấy giờ sẽ hay
粉㵢卷𦟐,phấn trôi quẹn má
状元󰝡漢明𠓨,trạng nguyên đem hớn minh vào
若使人先於海門潜植大杙鉄其首󰱆之以紩彼船隨潮漲入杙内然後我易制無有出此者,"nhược sử nhân tiên ư hải môn, tiềm thực đại dặc thiết, kì thủ cốt chi dĩ thiết, bỉ thuyền tuỳ triều trướng nhập dặc nội, nhiên hậu ngã dị chế, vô hữu xuất thử giả"
管之𨖲𣴜𫴋涼,quản chi lên thác xuống ghềnh
𡶨箕隔渃蒭離笛,ngạn kia cách nước so le địch
迯入玉麻州至麻港[乂安地官軍追及獲之回至東䦕城飲毒卒[一云先是帝既立暠暠駐營空路山徒寧江,"đào nhập ngọc ma châu chí ma cảng nghệ an địa quan quân truy cập hoạch chi hồi chí đông quan thành ẩm độc tốt nhất vân tiên thị, đế ký lập cảo, cảo trú dinh không lộ sơn, đồ ninh giang"
刼尘別𢷀包徐朱垂,kiếp trần biết rũ bao giờ cho xong ?
箒箟𢰽膈康康係埃𠳨𦤾辰󱜍𠦳鐄,chổi cùn cắp nách khăng khăng. hễ ai hỏi đến thì căng ngàn vàng
𫺈戎技𩯀蹎絲艱𮥷󰑼󰋇󰮕𢘾仍兜,"nhớ nhung kẽ tóc chân tơ. gian nan là mấy, nương nhờ những đâu"
𥪝茹𨤵易𪭯餅蒸,trong nhà rậm rịch gói bánh chưng
定田土潭池桑洲各額,định điền thổ đàm trì tang châu các ngạch
直𠺘󱪩曰𥐦硯,"trực rằng ngòi viết, dĩa nghiên"
矧䜹畧圯行廊,thẩn thơ trước dãy hành lang
鉄鉗琴瑟及𠓨,thiết kiềm kìm sắt cặp vào
坤現𫥨𩈘蹶䠇現𫥨蹎𢬣,"khôn hiện ra mặt, què quặt hiện ra chân tay"
親父具潘文浦,thân phụ cụ phan văn phổ
岸樁𢷆祝𦹵𦰤,ngàn thông chen chúc cỏ lau
計𣈜昆渃算潮落,kể ngày con nước toan triều rặc
奴󰀎阿難并大󰕛竜王鬼神,"no ấy a nan sánh những đại chúng, long vương, quỷ thần"
若不速戰勦除必爲後患,nhược bất tốc chiến tiễu trừ tất vi hậu hoạn
𠰘噡𢮀𨢇𫮦灰啺喠渴尋茶󱌡木苗,"miệng thèm sờ rượu, be hôi rích. giọng khát tìm trà, lọ mốc meo"
初昭勳靖公阮金知上相才識過人愛重如子以次女玉寶妻之,"sơ chiêu huân tĩnh công nguyễn kim tri thượng tướng tài thức quá nhân, ái trọng như tử, dĩ thứ nữ ngọc bảo thê chi"
店𣈜弄𬋩隊澆歆埋弄庄涓,"đêm ngày lòng quản đòi nhau, hôm mai lòng chẳng quên"
為緣朱沛勿奈,vì duyên cho phải vật nài
固欺𫀅𥢫𫀅𦓿𢚸針田野󰜋𣈜𠇍遭,có khi xem gặt xem cày. lòng chăm điền dã một ngày mấy tao
隔𩂟羕鎫玉收,cách mù dường mâm ngọc thu
南帝兄天寳居夷獠中稱桃郎王立國曰野能國,"nam đế huynh thiên bảo cư di lạo trung, xưng đào lang vương, lập quốc viết dã năng quốc"
大水泛溢渰民田禾浸民盧屋,"đại thuỷ phiếm dật, yêm dân điền hoà, tẩm dân lư ốc"
指昂𦰟槊𠓨岸𧯄豹,"chỉ ngang ngọn giáo, vào nghìn hang beo"
六月四日山南效順将定郡公陳百年卒,"lục nguyệt, tứ nhật, sơn nam hiệu thuận tướng định quận công trần bách niên tốt"
𠴍啂󰜏行停棟椅瓢𡽫箕㐌沛螉簮,nhắn nhủ bà hàng đừng gióng giả. bầu non kia đã phải ong châm
帝乃脱而加之龍󰥤大笑,"đế nãi thoát nhi gia chi, long trát đại tiếu"
圓囷󰑼庉单圍似蒲,viên khuân là đụn đan vây tựa bồ
𧐖𪂮都飭朱払漁咹拯朋些渚拮軍𧗱茹劎斫立身共𠊛,lươn cò đua sức cho chàng ngư ăn. chẳng bằng ta chớ cất quân. về nhà kiếm chước lập thân cùng người
翁修定𢴑娘阿蠻燒𨃴旦棱,ông tu định dắt nàng a man theo gót đến rừng
途中印又亡,đồ trung ấn hựu vong
逸梞󰜏󱟉挄𠁑󱖺揚𢬣翁脛拾𨖲頭,giật gậy bà chằn choang dưới gối. dang tay ông kễnh đập lên đầu
母貴妃爲荘順明懿皇太后,mẫu quý phi vi trang thuận minh ý hoàng thái hậu
捁鋸捁橘咹𠃣咹饒,kéo cưa kéo kít. ăn ít ăn nhiều
不情浽陣𫡮湄,bất tình nổi trận mây mưa
𨅸𠸫𠓀𩈘竜顔𢚸󱳮役渃󰅹筭典棋,đứng tâu trước mặt long nhan. lòng lo việc nước nào toan đến cờ
咳𡥵𪆧渃箕喂𫳵𡮠漨浘於尼銀河,hỡi con vịt nước kia ơi. sao mày vùng vẫy ở nơi ngân hà
二十五日節制鄭松進兵徃海陽處追勦莫黨,"nhị thập ngũ nhật, tiết chế trịnh tùng tiến binh vãng hải dương xứ truy tiễu mạc đảng"
娘浪𬮙事恩㝵,nàng rằng muôn sự ơn người
𩧍樓箕笛𠶎𠸟,"ruỗi lầu kia, địch bẻ bai"
衞王吕相纀𨉟󱡴軒,"vệ vương, lã tướng buộc mình cửa hiên"
悲𣇞買𤑟沁唏,bây giờ mới rõ tăm hơi
弘裕屯于東河坊綏屯于大羅城外相守,"hoằng dụ đồn vu đông hà phường, tuy đồn vu đại la thành ngoại tương thủ"
徒竹衝戈𢚸𤂬,dò trúc xông qua lòng suối
󰅹埃群汝󰒂柴,nào ai còn nhớ nghĩa thầy
咹制朱沛别𠳒𫏾𡢐,ăn chơi cho phải biết lời trước sau
六科給事中不公許都御史考覈所行事具奏取旨,"lục khoa cấp sự trung bất công, hứa đô ngự sử khảo hạch sở hành sự cụ tấu thủ chỉ"
󰝂撙榾梄朱𦷩奴蹽,đem chôn cột giậu cho bìm nó leo
𪀄呌花𦬑𣈜春凈香論碁殘席客催,chim kêu hoa nở ngày xuân tạnh. hương lụn cờ tàn tiệc khách thôi
𠽄尋𨻫仍料澄渃𩄲,thăm tìm luống những liệu chừng nước mây
燒𫥨買別脿𤷍旦欺奇𬲂別𣘃𥎁,thui ra mới biết béo gầy. đến khi cả gió biết cây cứng mềm
或拪或踏,hoặc sảy hoặc đạp
𣈜𣌝𤑈𤑈𥚇㹥𠻗,"ngày nắng chang chang, lưỡi chó lè"
弹󰜏寡部埃𣈙底朱,đàn bà goá bụa ai rày để cho
詔太尉楊英珥領清化,chiếu thái uý dương anh nhĩ lĩnh thanh hoá
別唐𨕭天堂麻另塊唐沙地獄,biết đường lên thiên đàng mà tránh khỏi đường sa địa ngục
船娄進細所尼幔朝,thuyền sau tiến tới thửa nơi màn triều
唒𠺘𡶀𡋿群高欣堒,dẫu rằng núi lở còn cao hơn cồn
𢚸㐌决丕丁寧实時,lòng đã quyết vậy đinh ninh thực thà
固槊辰槊渃𬈴,có xáo thì xáo nước trong
𮎦䧺𨅸𡨌尘埃買𫅷,anh hùng đứng giữa trần ai mới già
𠄼式批批𡓋鳳𨷑,năm thức phây phây đuôi phượng mở
闭徐吒㐌𫅷奴,bấy giờ cha đã già nua
念要荒亦吾赤子錫社分藩所謂柔遠以德,"niệm yếu hoang diệc ngô xích tử, tích xã phân phiên sở vị nhu viễn dĩ đức"
玻瓈𨷈坎式藍喑,pha lê muôn khoảnh thức chàm om
㯀督騎兵衝擊,toàn đốc kị binh xung kích
遂行尙書印信授之,toại hành thượng thư ấn tín thụ chi
肉机拮舌拮亇共󰑼底乏,nhục cơ cắt thịt cắt cá cùng là để băm
𠸦埃𢸛𥒥才穿鑿,khen ai đẽo đá tài xuyên tạc
朋埃𣦍实麻𢚸許香,bằng ai ngay thực mà lòng hở hang
史臣吳士連曰日皎同姓大臣冦至怯驛無扞禦之策又導其君以出寓之方将焉用彼相哉,"sử thần ngô sĩ liên viết nhật hiệu đồng tính đại thần, khấu chí khiếp dịch, vô cản ngự chi sách, hựu đạo kì quân dĩ xuất ngụ chi phương, tương yên dụng bỉ tướng tai?"
域娘暫𫴋门房,vực nàng tạm xuống môn phòng
像󰜏捠准龍宮景界尼唩埃𨅸帝躱露台,"tượng bà banh chốn long cung cảnh giới này. ủa ai đứng đấy, lõa lồ thay"
𧣳棱怒岸樁迻迍𩙌,góc rừng nọ ngàn thông đưa đón gió
𠰙󱲔窖呐仍𢈱𠰳些,khen ngươi khéo nói những lời phỉnh ta
襖默免羅朱𦛋蔭,áo mặc miễn là cho cật ấm
焒香窖𨤧情期,lửa hương khéo nhẽ tình kỳ
時司㓂黎克復欲禁考官挟司奏詣考官歃血盟誓,"thời tư khấu lê khắc phục dục cấm khảo quan hiệp tư, tấu nghệ khảo quan sáp huyết minh thệ"
置輿人女丁,trí dư nhân nữ đinh
戈低盤泊麻制丕可責払張窖負傍,qua đây bàn bạc mà chơi vậy. khá trách chàng trương khéo phũ phàng
及廷試上親策賜阮春正阮沂阮世卿等進士及第阮有常等二名進士出身阮滚等十五名同進士出身,"cập đình thí, thượng thân sách, tứ nguyễn xuân chính, nguyễn nghi nguyễn thế khanh đẳng tiến sĩ cập đệ nguyễn hữu thường đẳng nhị danh tiến sĩ xuất thân nguyễn cổn đẳng thập ngũ danh đồng tiến sĩ xuất thân"
吒伤昆哭祿,cha thương con khóc lóc
較之郭子儀窮奢極欲而人不之非者殆庶幾焉,"giảo chi quách tử nghi cùng xa cực dục nhi nhân bất chi phi giả, đãi thứ kỷ yên"
𦷾時拯𠺥,chẩn mạch đấy thì chẳng chịu
若派昆五逆摆析歇僕渚那,"nhược phải con ngũ nghịch, bới rách hết bọc chửa nạ"
𩝺性命蒸𬮌昂茹𦹵堵業𤯩蒸󱯐𣎞鐐𬲇,nuôi tính mệnh chưng cửa ngang nhà cỏ. đủ nghiệp sống chưng búa trăng rìu gió
碎醜厠如𦹵葿㭉於邊塘,tôi xấu xí như cỏ may mọc ở bên đường
𤻐󱩅󱦷咀󱤦庒聀朝,"hom hem hơi thở, sớm chẳng chắc chiều"
𪟂吒丐刧𥙩𫯳終,chém cha cái kiếp lấy chồng chung
師出有名刑兹罔赦,"sư xuất hữu danh, hình tư võng xá"
在𣫕𬦼𩈘廷臣,tại đền đủ mặt đình thần
元祖諱李因改李朝為阮朝且絶民之望李氏也〇,"nguyên tổ huý lí, nhân cải lí triều vi nguyễn triều, thả tuyệt dân chi vọng lí thị dã"
𨷑瞻臺鏡𣻆𣳔渃,mở xem đài kính tuôn dòng nước
𠬠命娘𦰟畑𣅘,một mình nàng ngọn đèn khuya
帝謁太廟罷倡優戲不奏滛樂,"đế yết thái miếu bãi xướng ưu hí, bất tấu dâm nhạc"
六月以范巨論知樞𡧸院事〇,"lục nguyệt, dĩ phạm cự luận tri khu mật viện sự"
赦卞哰泣冲外三哥罪意𣈙𡗶拯容,xá bèn rao khắp trong ngoài. tam kha tội ấy rày trời chẳng dong
娘𢬣󰋇丿威𤞻躡則𥚇隊吝眾蜆雷,nâng tay mấy phát oai hùm nép. tấc lưỡi đòi lần chúng kiến lui
枚文孝黎仕厚等亦差水兵上岸救應,"mai văn hiếu, lê sĩ hậu đẳng diệc sai thuỷ binh thượng ngạn cứu ứng"
箕埃㗂哭𠰚𡄨,kìa ai tiếng khóc nỉ non
正月六日莫遣敬典領兵侵掠清華阮倦等領兵侵掠乂安,"chính nguyệt, lục nhật, mạc khiển kính điển lĩnh binh xâm lược thanh hoa, nguyễn quyện đẳng lĩnh binh xâm lược nghệ an"
正和十八年嵗在丁丑仲冬榖日,"chính hoà thập bát niên, tuế tại đinh sửu, trọng đông, cốc nhật"
武公茄扵𧵆塘低庒,võ công nhà ở gần đường đây chăng?
太師乃差,thái sư nãi sai
朋尼它折昌泊共𠬛等,"bằng nay đà chết, xương bạc cùng một đấng"
固毫光𤈜𢜝庄敢𧵆,"có hào quang chói, sợ chẳng dám gần"
忍油𫔬刼敢捐𤯩爫節義𣨰𢧚福神,"nhẫn dầu muôn kiếp dám quên. sống làm tiết nghĩa, thác nên phúc thần"
梁軍潰北歸,lương quân hội bắc quy
固花𢜠花固𦵚𢜠𦵚,"có hoa mừng hoa, có nụ mừng nụ"
悴情㤕仍𪨅中,chút tình xót những trẻ trung
油欺𦲿𧺀紙紅,dầu khi lá thắm chỉ hồng
頭禄号󰑼守火婆,đầu lốc hiệu là thủ hoả bà
𫔳营柳買𢜏春边書㐌体奏聞陛韶,cửa doanh liễu mới mừng xuân. bên thư đã thấy tấu văn bệ thiều
𣇝耒,rảnh rỗi
故有待神以興亦有以亡,"cố hữu đãi thần dĩ hưng, diệc hữu dĩ vong"
朱㺔打蠟朱𬷤染𪘵,"cho voi đánh sáp, cho gà nhuộm răng"
畜冊悶悶清溝𬞕苔,róc rách mọn mọn thanh câu tràn đầy
𠊛些埃𡘮錢𢙇典低,người ta ai mất tiền hoài đến đây
鍼之果如其言,châm chi quả như kì ngôn
嗔仃貪妬補䔲,xin đừng t ham đó bỏ đăng
若廢業者以重罪論,nhược phế nghiệp giả dĩ trọng tội luận
其後占城真臘連年入㓂乂安一路不勝其弊英宗實啓之也,"kì hậu chiêm thành, chân lạp liên niên nhập khấu nghệ an nhất lộ bất thắng kì tệ anh tông thực khải chi dã"
五月不雨人多疫癘,"ngũ nguyệt, bất vũ, nhân đa dịch lệ"
茹󰘂底淋炭𡥵踈𢘽𥙩,nhà cửa để lầm than
𦊚馭𩝺於槽朱咹𦹵𦷾朱咹秃𦷾,"bốn ngựa nuôi ở tàu. cho ăn cỏ đấy, cho ăn thóc đấy"
初󰅒冲道弹妑𡨸貞箕拱固𠀧𬙞󰟯,xưa nay trong đạo đàn đà. chữ trinh kia cũng có ba bảy dường
漏漏󱯞莰玻瓈,làu làu muôn khóm pha lê
喑󰝂𤿰陣習情楽軍,"om thòm trống trận, rập rình nhạc quân"
兵權媄懺算皮𢭄昆,binh quyền mẹ sắm toan bề cậy con
北京地遠無所告訴不覺愧感父集翼見精誠如後唐明宗時焚香祝天願天爲我越早生聖人自帝其國以免北人之侵漁者也,"bắc kinh địa viễn, vô sở cáo tố, bất giác quý cảm phụ tập, dục kiến tinh thành như hậu đường minh tông thời, phần hương chúc thiên nguyện thiên vi ngã việt, tảo sinh thánh nhân, tự đế kì quốc, dĩ miễn bắc nhân chi xâm ngư giả dã"
梗役大噐爫柴𨑮方,"gánh việc đại khí, làm thầy mười phương"
右僉知政事,hữu thiêm tri chính sự
十五日實等見明英宗泣下行拜禮󰍶見英宗所居皮帳布幃蓆地而寢因奏今陛下服食粗陋不堪,"thập ngũ nhật, thực đẳng kiến minh anh tông, khấp hạ hành bái, lễ tất, kiến anh tông sở cư bì trướng, bố vi tịch địa nhi tẩm, nhân tấu kim bệ hạ phục thực thô lậu bất kham"
李仁宗以行之也惠宗盍舉故事而遵行焉,"lí nhân tông dĩ hành chi dã, huệ tông hạp cử cố sự nhi tuân hành yên"
節制鄭松差南道将裴文奎陳,"tiết chế trịnh tùng sai nam đạo tướng bùi văn khuê, trần"
絲秦𥿗晋產低朱耒,tơ tần chỉ tấn sẵn đây cho rồi
兄而簒其國是乱賊之尤也而史臣乃以皇帝書之則名不正矣,"huynh nhi soán kì quốc, thị loạn tặc chi vưu dã, nhi sử thần nãi dĩ hoàng đế thư chi, tắc danh bất chính hĩ"
五月雨,ngũ nguyệt vũ
毬髮速均,cầu phát tóc quăn
麻撞户馮蔑祝技急典𦒹𢆥,mà chàng họ phùng một chốc ghẽ kíp đến sáu năm
秋七月初五日勑諭官員百姓等世道隆汚係乎風俗風俗嬍惡係乎氣数,"thu, thất nguyệt, sơ ngũ nhật, sắc dụ quan viên bách tính đẳng thế đạo long ô hệ hồ phong tục phong tục mĩ ố hệ hồ khí số"
博德曰因道遠後期與楼船會至番禺,"bác đức viết nhân đạo viễn hậu, kì dữ lâu thuyền hội chí phiên ngung"
帝御小舟就太尉日皎船問計,đế ngự tiểu chu tựu thái uý nhật hiệu thuyền vấn kế
帝御天慶殿執,đế ngự thiên khánh điện chấp
埃朱蓮悶𠬠盆埃朱𣔥橘𤯭盆榴㰀,ai cho sen muống một bồn. ai cho chanh quýt sánh bồn lựu lê
民爲立祠于小鴉海口以對趙越王祠,dân vi lập từ vu tiểu nha hải khẩu dĩ đối triệu việt vương từ
盃柴丘陀羅燒翁修定綽衛茹,bui thầy khâu đà la theo ông tu định rước về nhà
󰅎牧𨄃𤛠驢丐𤚢,trẻ mục đuổi trâu lừa cái nghé
別浪払進討尼󰠲,biết rằng chàng tiến thảo nơi đâu ?
𠰍啞㗀唹𦰟筆𨨲,ú ớ u ơ ngọn bút chì
世界冬𢧚玉蔑䕯,thế giới đông nên ngọc một bầu
鴈鴻涓退盃皮岸橷,nhạn hồng quen thói vui bề ngàn dâu
𬋩包雪待霜除,quản bao tuyết đợi sương chờ
遣使訃于宋,khiển sứ phó vu tống
聰明本産性𡗶坡芸詩畫𨇜味歌吟,thông minh vốn sẵn tính trời. pha nghề thi họa đủ mùi ca ngâm
𬮌洞拯咍離裊意碧桃㐌𠇍𦽔󰝡花,cửa động chẳng hay lìa nẻo ấy. bích đào đã mấy cụm đơm hoa
是月武師鑠密使人潜入壘内納降書乞負罪歸朝,"thị nguyệt, vũ sư thước mật sử nhân tiềm nhập luỹ nội nạp hàng thư, khất phụ tội quy triều"
征婦傳意朱詳,chinh phụ chuyện ấy cho tường
𡶀南山高位位,núi nam sơn cao vợi vợi
二十六日遣禮部尚書黎䏻讓范福昭郭󱴋等,"nhị thập lục nhật, khiển lễ bộ thượng thư lê năng nhượng, phạm phúc chiêu, quách liễn đẳng"
𥙩𫯳𦀎女𡛔尼吀傕,lấy chồng lượt nữa gái này xin thôi
秀󰜏速𬆅旦尼,tú bà tốc thẳng đến nơi
風流窒墨󰬾𣈜節,phong lưu rất mực ba ngày tết
