ocr_char,syllable,n_rows,n_pages,n_books,tiers,char_in_dict,dict_readings_of_char,n_dict_chars_for_syllable,dict_chars_for_syllable,similar_hit,gold_count,verdict,true_char,sample_images
篭,xuống,12,11,2,SYLLABLE,True,dẹp lung luông luồng lông lồng ruồng rông trông trồng,17, 下 笹 𠁑 𠖈 𡬈 𨑜 𪧍 𫳭 𫴋 𬕹 𬺗 󰞘 󰡎 󱚏 󱟫 󱪞,,5,,,syllable/stt2_page_0304_c04_064.png syllable/stt11_page_0048_c07_139.png syllable/stt11_page_0050_c01_002.png syllable/stt11_page_0090_c06_119.png syllable/stt11_page_0110_c03_051.png
歿,đá,12,12,3,SYLLABLE,True,một,14,伏 哆 坧 多 廏 打 石 趨 跢 跥 𥒥 𬦡 󱘦 󱞶,,2,,,syllable/stt2_page_0036_c09_157.png syllable/stt2_page_0258_c08_132.png syllable/stt4_page_0140_c02_027.png syllable/stt11_page_0058_c06_126.png syllable/stt11_page_0088_c01_010.png
畏,là,12,12,3,SYLLABLE,True,hoay hoáy hôi uy òi ói ôi úi út úy ỏi ổi,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,1,,,syllable/stt2_page_0014_c05_097.png syllable/stt2_page_0024_c06_121.png syllable/stt4_page_0024_c08_159.png syllable/stt4_page_0040_c03_058.png syllable/stt4_page_0166_c07_147.png
虎,xác,12,11,1,SYLLABLE,True,hố hổ,34,剒 埆 塙 墧 壳 悫 愨 慤 搉 攉 榷 殻 殼 确 確 碻 礜 礭 索 蝎,,7,,,syllable/stt2_page_0048_c05_089.png syllable/stt2_page_0052_c08_159.png syllable/stt2_page_0058_c02_039.png syllable/stt2_page_0058_c07_151.png syllable/stt2_page_0070_c07_122.png
柩,giu,12,9,2,SYLLABLE,True,chanh cửu cữ cữu,0,,,0,,,syllable/stt2_page_0190_c06_099.png syllable/stt2_page_0190_c07_112.png syllable/stt2_page_0190_c09_158.png syllable/stt2_page_0298_c05_093.png syllable/stt2_page_0306_c04_066.png
辭,năm,11,11,2,SYLLABLE,True,ti tơ tư từ,19, 南 年 朩 璏 秊 䄭 𠄼 𠡦 𠦅 𠦚 𠫺 𠬋 𢆥 𦼌 𫡵 𫧣 𫷜 󱙌,,1,,,syllable/stt2_page_0016_c01_013.png syllable/stt2_page_0048_c01_015.png syllable/stt2_page_0088_c07_130.png syllable/stt2_page_0128_c06_125.png syllable/stt2_page_0150_c03_050.png
運,trên,11,11,3,SYLLABLE,True,mặc nảy vần vẩn vận vặn vờn,9, 珕 蓮 連 𨑗 𨕭 𨖲 𬨺 󰓱,蓮 連 𨖲,0,,,syllable/stt2_page_0046_c06_110.png syllable/stt2_page_0080_c03_045.png syllable/stt2_page_0102_c02_037.png syllable/stt2_page_0138_c01_013.png syllable/stt2_page_0142_c09_165.png
朦,muông,11,11,3,SYLLABLE,True,mong móng mông mồng mỗng,4,懞 獴 𤡌 𪺿,懞 獴,0,,,syllable/stt2_page_0028_c02_043.png syllable/stt2_page_0038_c03_046.png syllable/stt2_page_0130_c03_060.png syllable/stt2_page_0176_c07_115.png syllable/stt2_page_0178_c09_159.png
晁,con,11,10,2,SYLLABLE,True,chiều chào chầu giàu giầu triêu triều trào tràu trều,15,ヌ  婫 岞 昆 晜 罤 群 㒭 𡥵 𣋥 𤙭 𥊽 𧲟 𫴾,,0,,,syllable/stt2_page_0276_c08_149.png syllable/stt4_page_0016_c08_162.png syllable/stt4_page_0016_c09_191.png syllable/stt4_page_0076_c07_150.png syllable/stt4_page_0104_c06_121.png
𬒳,xem,11,11,3,SYLLABLE,False,,18, 佔 占 呫 姟 娂 瞻 袩 覘 貼 㡇 䀡 䄡 䦓 𤎥 𫀅 󰏙 󰠉,,0,,,syllable/stt2_page_0060_c03_045.png syllable/stt2_page_0078_c01_020.png syllable/stt2_page_0086_c09_193.png syllable/stt2_page_0116_c02_030.png syllable/stt2_page_0160_c06_103.png
願,nguyên,11,11,3,SYLLABLE,True,nguyền nguyện,41,京 元 原 厡 厵 圓 嫄 杬 榞 沅 源 羱 芫 蚖 螈 豲 邍 邧 騵 魭,榞 羱 螈,79,,,syllable/stt2_page_0054_c03_052.png syllable/stt2_page_0132_c06_115.png syllable/stt2_page_0148_c04_071.png syllable/stt2_page_0188_c08_146.png syllable/stt2_page_0228_c09_157.png
𢍆,sau,11,11,2,SYLLABLE,False,,37,嗟 娄 婁 差 搂 楼 牢 畧 畱 瘥 窂 罒 荖 蹉 䁟 𡕘 𡘠 𡢐 𢀞 𢀠,,0,,,syllable/stt2_page_0088_c05_104.png syllable/stt2_page_0170_c01_014.png syllable/stt2_page_0186_c07_125.png syllable/stt2_page_0192_c02_029.png syllable/stt2_page_0206_c05_082.png
𮧯,và,11,11,1,SYLLABLE,False,,17,叵 吧 和 喡 巴 為 頗 𠄧 𡂄 𡝕 𢯓 𢯠 𢽼 𣀟 𩑼 𪽡 𬏓,,0,,,syllable/stt11_page_0028_c03_050.png syllable/stt11_page_0054_c06_124.png syllable/stt11_page_0068_c02_025.png syllable/stt11_page_0116_c02_035.png syllable/stt11_page_0156_c04_078.png
喬,trời,11,11,2,SYLLABLE,True,kiêu kiều kiểu kèo kẻo kều,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,15,,,syllable/stt2_page_0228_c09_164.png syllable/stt2_page_0242_c09_155.png syllable/stt2_page_0248_c09_144.png syllable/stt2_page_0256_c06_097.png syllable/stt2_page_0262_c06_115.png
及,chịu,11,11,3,SYLLABLE,True,chắp cúp cạp cầm cập cắp cặp cụp gấp gập gặp kíp,8,受 召 邵 𠮥 𠮦 𠹾 𠺥 𥃝,,31,,,syllable/stt2_page_0074_c09_179.png syllable/stt2_page_0106_c05_081.png syllable/stt2_page_0138_c03_055.png syllable/stt2_page_0184_c05_082.png syllable/stt2_page_0204_c01_017.png
商,lời,11,11,2,SYLLABLE,True,thương,27,例 俐 分 利 吝 唎 坘 塁 痢 行 調 𠅜 𠇮 𠜫 𠳐 𠳒 𡗶 𢈱 𢚸 𥒥,,0,,,syllable/stt4_page_0204_c07_151.png syllable/stt4_page_0214_c09_185.png syllable/stt4_page_0218_c08_143.png syllable/stt4_page_0228_c09_172.png syllable/stt11_page_0036_c06_113.png
張,mẹ,11,9,1,SYLLABLE,True,chanh choang chăng chương chướng dăng giăng giương giường trang trưng trương,9,姆 媄 憽 毋 母 美 袄 那 㜫,,1,,,syllable/stt4_page_0074_c02_029.png syllable/stt4_page_0076_c06_118.png syllable/stt4_page_0088_c09_176.png syllable/stt4_page_0102_c08_148.png syllable/stt4_page_0104_c04_070.png
冉,sách,11,9,3,SYLLABLE,True,nhiễm nhiệm nhẹm nhẻm đam,60, 𱏺 冊 册 啧 嗦 嘖 坼 彳 愬 拆 摵 敇 敕 柵 栅 梜 溹 笧 策,,6,,,syllable/stt2_page_0208_c08_136.png syllable/stt4_page_0030_c07_156.png syllable/stt4_page_0054_c07_137.png syllable/stt4_page_0090_c04_088.png syllable/stt4_page_0100_c01_015.png
夢,một,11,11,1,SYLLABLE,True,mong mung muống mòng móng mông mùng mọng mỏng mống mồmg mồng,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,17,,,syllable/stt11_page_0010_c04_063.png syllable/stt11_page_0012_c09_177.png syllable/stt11_page_0030_c03_061.png syllable/stt11_page_0058_c08_152.png syllable/stt11_page_0108_c03_057.png
候,mẹ,11,11,2,SYLLABLE,True,hầu hậu thoắng,9,姆 媄 憽 毋 母 美 袄 那 㜫,,1,,,syllable/stt2_page_0308_c06_077.png syllable/stt2_page_0328_c09_158.png syllable/stt2_page_0330_c01_006.png syllable/stt11_page_0034_c08_154.png syllable/stt11_page_0136_c07_153.png
媛,mẹ,10,7,3,SYLLABLE,True,viên viện,9,姆 媄 憽 毋 母 美 袄 那 㜫,,0,,,syllable/stt2_page_0044_c05_085.png syllable/stt2_page_0044_c05_094.png syllable/stt2_page_0044_c06_121.png syllable/stt2_page_0044_c07_128.png syllable/stt2_page_0064_c03_050.png
黑,là,10,9,1,SYLLABLE,True,hắc,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,syllable/stt11_page_0012_c04_076.png syllable/stt11_page_0022_c09_202.png syllable/stt11_page_0024_c04_070.png syllable/stt11_page_0088_c01_009.png syllable/stt11_page_0090_c08_171.png
洶,ao,10,8,1,SYLLABLE,True,hung húng,31,  傉 凹 刀 呦 坳 幼 拗 泑 爊 釉 鏕 鏖 㓜 㘭 䆟 䥝 䫜 𠕄,,0,,,syllable/stt11_page_0016_c03_055.png syllable/stt11_page_0046_c06_078.png syllable/stt11_page_0046_c08_117.png syllable/stt11_page_0102_c04_068.png syllable/stt11_page_0102_c05_090.png
屍,nước,10,9,2,SYLLABLE,True,thi thây,13, 匿 國 娘 搩 於 渃 珠 箸 著 𣋐 𣥧 𫭔,,0,,,syllable/stt2_page_0232_c01_001.png syllable/stt2_page_0244_c04_073.png syllable/stt4_page_0020_c08_163.png syllable/stt4_page_0146_c05_064.png syllable/stt4_page_0194_c02_030.png
乕,phải,10,9,2,SYLLABLE,True,hổ,30,仕 伂 塊 折 拜 拝 朝 沛 派 芾 霈 㳈 𡴬 𢪙 𢫶 𢮠 𢰛 𢱭 𢳎 𢴽,,0,,,syllable/stt2_page_0136_c07_123.png syllable/stt2_page_0146_c08_132.png syllable/stt4_page_0062_c09_190.png syllable/stt4_page_0066_c03_055.png syllable/stt4_page_0118_c07_141.png
配,pha,10,8,1,SYLLABLE,True,bụi phôi phối phổi phới,29,叵 坡 岥 披 波 玻 皅 破 簸 翍 芭 苩 萉 葩 陂 頗 颇 㓟 㩺 䔤,,0,,,syllable/stt4_page_0012_c07_133.png syllable/stt4_page_0066_c02_031.png syllable/stt4_page_0130_c01_006.png syllable/stt4_page_0130_c09_179.png syllable/stt4_page_0194_c06_119.png
曰,làm,10,10,3,SYLLABLE,True,nhạt nhựt nói viết vít vất vắt vết vệt vịt,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,147,,,syllable/stt2_page_0236_c01_001.png syllable/stt2_page_0294_c06_116.png syllable/stt2_page_0316_c03_043.png syllable/stt4_page_0252_c06_134.png syllable/stt11_page_0086_c05_077.png
外,buộc,10,10,3,SYLLABLE,True,ngoài ngoái ngoáy ngoại ngoải nguậy ngòi ngồi quay yểu,20,僕 卜 幞 扑 揊 撲 擈 攴 縛 纀 襆 㩧 𢪗 𢭠 𢯜 𢷏 𥾾 𦂿 𦄾 𫃚,,64,,,syllable/stt2_page_0076_c03_055.png syllable/stt2_page_0122_c03_054.png syllable/stt2_page_0180_c06_097.png syllable/stt2_page_0186_c08_134.png syllable/stt4_page_0164_c07_147.png
海,hỏi,10,7,2,SYLLABLE,True,hái hây hơi hải hấy hẩy,13,哙 喂 嗨 噲 坙 每 磊 誨 𠳨 𫊹 󰢽 󰭃 󱛵,每,0,,,syllable/stt2_page_0012_c09_141.png syllable/stt2_page_0060_c04_074.png syllable/stt2_page_0060_c05_102.png syllable/stt2_page_0164_c08_124.png syllable/stt2_page_0252_c09_137.png
肭,thịt,10,9,2,SYLLABLE,True,niết nạp nọi nột nục,8, 舌 䏦 𠯑 𡶀 𢀛 𦧘 𬚸,,0,,,syllable/stt2_page_0042_c05_091.png syllable/stt2_page_0090_c02_024.png syllable/stt4_page_0048_c06_118.png syllable/stt4_page_0048_c06_120.png syllable/stt4_page_0052_c05_084.png
尒,làm,10,10,2,SYLLABLE,True,ne nhãi nhé nhĩ nhẽ nẻ nể thủy,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,0,,,syllable/stt2_page_0036_c02_040.png syllable/stt2_page_0040_c02_037.png syllable/stt2_page_0080_c09_167.png syllable/stt2_page_0154_c01_007.png syllable/stt2_page_0172_c04_056.png
選,lạ,10,10,3,SYLLABLE,True,chọn chộn dọn dốn rộn soát soạn soạng soảng toán toản tuyến,29, 吕 呂 囉 異 罗 羅 莒 逻 邏 𡄀 𡆗 𡚎 𤳧 𤴏 𦋝 𦌴 𦍉 𨓐 𨔍,,0,,,syllable/stt2_page_0028_c06_127.png syllable/stt2_page_0050_c06_131.png syllable/stt2_page_0218_c01_017.png syllable/stt2_page_0242_c06_097.png syllable/stt2_page_0268_c01_009.png
苑,pha,10,9,3,SYLLABLE,True,oan oản uyển uân uất uẩn,29,叵 坡 岥 披 波 玻 皅 破 簸 翍 芭 苩 萉 葩 陂 頗 颇 㓟 㩺 䔤,,0,,,syllable/stt2_page_0098_c05_073.png syllable/stt2_page_0222_c06_108.png syllable/stt2_page_0300_c09_164.png syllable/stt4_page_0274_c06_117.png syllable/stt11_page_0010_c04_057.png
仪,ấy,10,10,2,SYLLABLE,True,nghi,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,0,,,syllable/stt2_page_0202_c01_010.png syllable/stt2_page_0210_c02_029.png syllable/stt2_page_0238_c09_156.png syllable/stt11_page_0010_c09_157.png syllable/stt11_page_0020_c05_102.png
醉,năm,9,9,2,SYLLABLE,True,túy xúy,19, 南 年 朩 璏 秊 䄭 𠄼 𠡦 𠦅 𠦚 𠫺 𠬋 𢆥 𦼌 𫡵 𫧣 𫷜 󱙌,,0,,,syllable/stt2_page_0088_c06_127.png syllable/stt2_page_0134_c07_146.png syllable/stt2_page_0162_c03_043.png syllable/stt2_page_0196_c04_045.png syllable/stt11_page_0010_c09_163.png
先,đem,9,9,2,SYLLABLE,True,ten teng tiên tiến tên,28,   冘 剾 抌 眈 耽 躭 酖 鴆 𢲠 𨈔 𨈠 𨈦 𨈨 𨊍 𨊗 𨑴 𨑻,,190,,,syllable/stt2_page_0068_c03_050.png syllable/stt2_page_0178_c04_067.png syllable/stt4_page_0082_c01_014.png syllable/stt4_page_0118_c06_120.png syllable/stt4_page_0196_c07_126.png
安,hỏi,9,9,2,SYLLABLE,True,an yên án ăn,13,哙 喂 嗨 噲 坙 每 磊 誨 𠳨 𫊹 󰢽 󰭃 󱛵,,184,,,syllable/stt4_page_0022_c07_143.png syllable/stt4_page_0082_c06_119.png syllable/stt4_page_0218_c02_032.png syllable/stt11_page_0044_c02_027.png syllable/stt11_page_0104_c05_091.png
牛,cho,9,9,2,SYLLABLE,True,ngâu ngõ ngưu ngọ ngỏ,12, 咮 埃 木 朱 株 沫 渚 濐 硃 陼 㵭,,0,,,syllable/stt2_page_0236_c08_142.png syllable/stt11_page_0048_c04_082.png syllable/stt11_page_0094_c06_118.png syllable/stt11_page_0128_c01_013.png syllable/stt11_page_0142_c01_013.png
姚,dêu,9,9,2,SYLLABLE,True,dao diêu riêu rêu điệu đào đầu,8,揺 搖 摇 摿 㨱 𢭊 𢭌 𢳘,,12,,,syllable/stt2_page_0030_c04_084.png syllable/stt2_page_0190_c07_113.png syllable/stt2_page_0206_c05_089.png syllable/stt2_page_0208_c03_051.png syllable/stt11_page_0158_c07_143.png
卄,là,9,8,2,SYLLABLE,True,chấp nhập niệm trấp trập,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,syllable/stt2_page_0206_c04_074.png syllable/stt2_page_0288_c09_176.png syllable/stt2_page_0320_c07_116.png syllable/stt11_page_0246_c08_158.png syllable/stt11_page_0248_c06_116.png
其,dữ,9,7,1,SYLLABLE,True,cà cày cùng cơ ki kia ky kì kìa kí ký kề,36, 𱠎 与 予 兴 嬹 屿 嶼 懙 歟 璵 與 興 㑏 㒷 㠘 㺞 𠔔 𡨺 𡽬,,243,,,syllable/stt2_page_0020_c01_012.png syllable/stt2_page_0038_c03_047.png syllable/stt2_page_0038_c05_096.png syllable/stt2_page_0040_c05_089.png syllable/stt2_page_0062_c02_022.png
碾,nén,9,4,1,SYLLABLE,True,chiển liễn niển niễn triển,21,ㇶ 𱴸 椣 篆 裵 𢬧 𣡤 𤓢 𥗨 𥗾 𥘀 𦮴 𨦧 𨫀 𨰴 𪤍 𪹷 𬋟 𬒿 󰠱,,0,,,syllable/stt2_page_0278_c06_095.png syllable/stt2_page_0282_c02_040.png syllable/stt2_page_0282_c03_052.png syllable/stt2_page_0282_c04_072.png syllable/stt2_page_0282_c06_107.png
記,bà,9,9,1,SYLLABLE,True,ghi kí ký sán,36,𱙘 嘙 堏 壩 妑 婆 把 掱 搫 朳 杷 欛 波 潖 爬 琶 番 皤 磻 粑,,1,,,syllable/stt4_page_0036_c09_180.png syllable/stt4_page_0056_c02_038.png syllable/stt4_page_0064_c03_056.png syllable/stt4_page_0124_c04_074.png syllable/stt4_page_0178_c07_121.png
准,dõi,9,8,3,SYLLABLE,True,chuyết chuẩn chõn chùn chốn chổn chủn dỏi hốn trốn,7,又 唯 惟 烩 燴 𠼲 𤊠,唯 惟,12,,,syllable/stt2_page_0060_c04_077.png syllable/stt2_page_0060_c04_085.png syllable/stt2_page_0116_c04_073.png syllable/stt2_page_0206_c05_080.png syllable/stt2_page_0324_c08_140.png
喫,ra,9,9,2,SYLLABLE,True,cật hấc hất hớt khiết khít khật khế khịa khịt ngát ngật,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,syllable/stt4_page_0206_c06_102.png syllable/stt4_page_0222_c08_149.png syllable/stt4_page_0268_c02_042.png syllable/stt4_page_0292_c07_167.png syllable/stt11_page_0028_c07_139.png
迕,du,9,9,3,SYLLABLE,True,ngỗ,138,俞 偷 偸 兪 喻 婾 媮 峳 崳 怞 悠 愈 愉 抭 揄 攸 斿 旒 柚 楡,,0,,,syllable/stt2_page_0116_c04_060.png syllable/stt2_page_0118_c08_171.png syllable/stt4_page_0148_c03_052.png syllable/stt4_page_0248_c06_107.png syllable/stt11_page_0022_c04_082.png
開,bấy,9,9,1,SYLLABLE,True,khai khui khơi quan,34,卑 悲 曊 碑 罢 罷 貝 買 閇 閈 閉 闭 䠋 𠇍 𠐌 𠾚 𡭼 𡮁 𤰞 𥓓,,0,,,syllable/stt4_page_0014_c03_058.png syllable/stt4_page_0034_c09_184.png syllable/stt4_page_0042_c06_124.png syllable/stt4_page_0142_c06_117.png syllable/stt4_page_0166_c04_084.png
未,cho,9,9,3,SYLLABLE,True,mùi vi vị,12, 咮 埃 木 朱 株 沫 渚 濐 硃 陼 㵭,咮 木 朱,1,,,syllable/stt2_page_0262_c07_118.png syllable/stt4_page_0020_c01_006.png syllable/stt4_page_0024_c09_187.png syllable/stt4_page_0096_c06_132.png syllable/stt4_page_0224_c07_140.png
羅,trước,9,9,1,SYLLABLE,True,l la là lơ lạ nào ra,29,  𱐨 𱏯 斮 櫡 略 畧 着 竹 箸 苉 著 訳 㗉 𠓀 𠠩 𣋐 𣥧 𨍦,,14,,,syllable/stt2_page_0064_c08_144.png syllable/stt2_page_0072_c03_051.png syllable/stt2_page_0082_c06_117.png syllable/stt2_page_0116_c01_007.png syllable/stt2_page_0156_c05_078.png
䏷,ngày,9,7,1,SYLLABLE,False,,11,ヌ  匕 又 挧 時 㝵 𣈗 𣈜 𣦍 𬏝,,0,,,syllable/stt11_page_0012_c02_036.png syllable/stt11_page_0012_c07_146.png syllable/stt11_page_0072_c02_025.png syllable/stt11_page_0120_c04_072.png syllable/stt11_page_0120_c05_097.png
咤,ra,9,9,2,SYLLABLE,True,cha chá sá sã trá xá,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,syllable/stt2_page_0022_c08_162.png syllable/stt2_page_0024_c02_039.png syllable/stt2_page_0098_c05_070.png syllable/stt2_page_0308_c04_036.png syllable/stt4_page_0012_c02_015.png
哦,dạy,9,9,2,SYLLABLE,True,hóe nga ngoa,14, 代 抴 拽 敎 教 曳 曵 㖂 𠰺 𠸕 𤕝 𦥙 󱙦,,0,,,syllable/stt2_page_0178_c09_166.png syllable/stt11_page_0028_c03_051.png syllable/stt11_page_0118_c03_055.png syllable/stt11_page_0132_c04_071.png syllable/stt11_page_0192_c03_044.png
𫈦,một,9,9,2,SYLLABLE,False,,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,0,,,syllable/stt2_page_0312_c03_057.png syllable/stt11_page_0012_c02_037.png syllable/stt11_page_0020_c09_180.png syllable/stt11_page_0050_c02_035.png syllable/stt11_page_0066_c04_066.png
慓,rất,8,8,3,SYLLABLE,True,phiêu phiếu,14,功 叱 悉 慄 栗 秩 窒 㗌 㩫 𡂒 𢢙 𫇐 󰉩 󱳏,,0,,,syllable/stt2_page_0026_c08_145.png syllable/stt2_page_0102_c08_158.png syllable/stt2_page_0104_c04_076.png syllable/stt2_page_0130_c07_153.png syllable/stt4_page_0056_c02_035.png
孔,bắt,8,6,1,SYLLABLE,True,cung hỏng hổng khung không khỏng khổng khủng,17,丷 八 北 扒 抔 捌 掊 掱 搏 撥 朳 㧙 㧵 𢫣 𫐴 𫐾 󰈫,,0,,,syllable/stt2_page_0038_c05_102.png syllable/stt2_page_0052_c02_025.png syllable/stt2_page_0072_c04_068.png syllable/stt2_page_0072_c08_138.png syllable/stt2_page_0074_c03_041.png
凛,lăm,8,8,3,SYLLABLE,True,lầm lẫm lắm sấm,11,啉 婪 惏 林 𠄻 𠄼 𠵂 𢆥 𬂽 󰢵 𭸓,,7,,,syllable/stt2_page_0200_c02_029.png syllable/stt2_page_0220_c04_069.png syllable/stt2_page_0248_c08_129.png syllable/stt2_page_0320_c06_109.png syllable/stt4_page_0160_c02_039.png
敬,hết,8,8,2,SYLLABLE,True,kinh kính kỉnh lễ,23,侭 儘 別 哈 喝 尽 欱 歇 盡 竭 結 遏 䀆 𠿒 𡀽 𡁁 𣍊 𥁞 𥃞 𧗁,,63,,,syllable/stt2_page_0244_c05_085.png syllable/stt2_page_0258_c09_159.png syllable/stt4_page_0020_c06_109.png syllable/stt4_page_0050_c07_122.png syllable/stt4_page_0150_c02_030.png
𭮀,pha,8,8,2,SYLLABLE,False,,29,叵 坡 岥 披 波 玻 皅 破 簸 翍 芭 苩 萉 葩 陂 頗 颇 㓟 㩺 䔤,,0,,,syllable/stt2_page_0118_c01_007.png syllable/stt2_page_0122_c05_092.png syllable/stt4_page_0012_c06_106.png syllable/stt4_page_0022_c06_132.png syllable/stt4_page_0024_c07_149.png
下,ha,8,8,2,SYLLABLE,True,há hạ xuống,13,呴 呵 哈 哬 岈 苛 訶 诃 谺 閕 阿 㱒 𧪆,,120,,,syllable/stt2_page_0132_c05_103.png syllable/stt2_page_0234_c02_038.png syllable/stt2_page_0240_c09_160.png syllable/stt2_page_0320_c04_072.png syllable/stt11_page_0034_c08_169.png
𭄞,đức,8,8,2,SYLLABLE,False,,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,0,,,syllable/stt2_page_0030_c01_016.png syllable/stt2_page_0098_c07_124.png syllable/stt2_page_0104_c02_025.png syllable/stt2_page_0122_c07_129.png syllable/stt2_page_0134_c06_112.png
畀,là,8,7,2,SYLLABLE,True,ti ty tí tý tỷ,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,syllable/stt2_page_0072_c05_077.png syllable/stt2_page_0122_c05_095.png syllable/stt2_page_0122_c08_156.png syllable/stt2_page_0134_c01_001.png syllable/stt2_page_0270_c06_129.png
含,chín,8,8,1,SYLLABLE,True,gầm hàm hám hăm hầm hằm hờm hợm hụm ngoàm ngậm,14, 九 佂 正 㐱 𠃩 𢒂 𤇢 𤇪 𤒙 𫡦 󱙃 󱨌 󱸉,,0,,,syllable/stt4_page_0026_c04_075.png syllable/stt4_page_0064_c02_036.png syllable/stt4_page_0086_c09_175.png syllable/stt4_page_0104_c03_049.png syllable/stt4_page_0144_c08_159.png
僊,đức,8,7,1,SYLLABLE,True,quyện tiên tiêu,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,0,,,syllable/stt4_page_0014_c01_019.png syllable/stt4_page_0082_c08_174.png syllable/stt4_page_0088_c05_081.png syllable/stt4_page_0162_c02_033.png syllable/stt4_page_0280_c03_067.png
漂,lăm,8,8,1,SYLLABLE,True,phao pheo phiêu phiếu phều phịu siêu teo veo xiêu xiếu xẻo,11,啉 婪 惏 林 𠄻 𠄼 𠵂 𢆥 𬂽 󰢵 𭸓,,4,,,syllable/stt2_page_0090_c07_124.png syllable/stt2_page_0102_c01_007.png syllable/stt2_page_0108_c07_112.png syllable/stt2_page_0128_c03_048.png syllable/stt2_page_0176_c06_104.png
州,sáng,8,8,2,SYLLABLE,True,chao chu châu thai,36,𱢞 刅 创 刱 剏 剙 創 戧 朗 灱 灲 瘡 瞆 粰 郎 𠒫 𠓇 𠛂 𠛲 𠝀,,0,,,syllable/stt2_page_0248_c04_067.png syllable/stt2_page_0280_c01_013.png syllable/stt2_page_0302_c05_091.png syllable/stt11_page_0210_c04_081.png syllable/stt11_page_0242_c08_142.png
修,khác,8,8,2,SYLLABLE,True,tu,11,吉 恪 悫 愘 愙 愨 慤 格 毃 确 㤩,,22,,,syllable/stt4_page_0052_c02_039.png syllable/stt4_page_0078_c04_085.png syllable/stt4_page_0084_c02_038.png syllable/stt4_page_0138_c01_011.png syllable/stt4_page_0196_c08_147.png
燒,nhiêu,8,8,2,SYLLABLE,True,nhau sao theo thiu thiêu thiếu thui thêu tiu tiêu,29, 僥 堯 娆 嬈 桡 橈 荛 蕘 蛲 蟯 襓 趬 跷 蹺 蹻 饒 饶 𡆁 𡗉,僥 堯 嬈 橈 蟯 襓,118,,,syllable/stt4_page_0300_c07_144.png syllable/stt11_page_0012_c07_148.png syllable/stt11_page_0028_c03_044.png syllable/stt11_page_0096_c06_116.png syllable/stt11_page_0162_c04_082.png
樂,thầy,8,8,1,SYLLABLE,True,lạc nhác nhạc nhạo,8,  偨 柴 祡 茈 賴 𪪀,,0,,,syllable/stt4_page_0016_c07_138.png syllable/stt4_page_0026_c06_108.png syllable/stt4_page_0032_c04_069.png syllable/stt4_page_0036_c02_026.png syllable/stt4_page_0058_c04_071.png
特,thì,8,8,2,SYLLABLE,True,hay sệt vậy đước được đặc đặt đực,56,𱢑 匙 埘 塒 寺 峕 常 提 时 旹 時 晨 曟 榯 氏 畤 秲 茄 莳 蒔,寺 時,631,,,syllable/stt4_page_0024_c09_182.png syllable/stt4_page_0044_c06_113.png syllable/stt4_page_0100_c08_165.png syllable/stt4_page_0166_c02_033.png syllable/stt4_page_0188_c04_081.png
𡰱,chịu,8,8,2,SYLLABLE,True,ni này nê nì nơi nầy,8,受 召 邵 𠮥 𠮦 𠹾 𠺥 𥃝,,3,,,syllable/stt2_page_0014_c06_115.png syllable/stt2_page_0040_c03_046.png syllable/stt2_page_0180_c07_126.png syllable/stt4_page_0048_c05_098.png syllable/stt4_page_0092_c09_176.png
荼,nghiệp,7,7,1,SYLLABLE,True,chè dưa dừa gia giưa sà trà đồ,11,业 嶪 嶫 業 邺 鄴 㸣 䧨 𢄁 𤎸 𤑽,,1,,,syllable/stt11_page_0060_c01_021.png syllable/stt11_page_0070_c02_040.png syllable/stt11_page_0090_c05_109.png syllable/stt11_page_0134_c03_064.png syllable/stt11_page_0146_c07_136.png
