Codepoint,Character,kDefinition
U+6029,怩,"shy, timid, bashful; look ashamed"
U+602A,怪,"strange, unusual, peculiar"
U+602B,怫,"sorry, anxious; depressed"
U+602D,怭,rude
U+602F,怯,"lacking in courage, afraid"
U+6031,怱,"hastily, in haste, hurriedly"
U+6032,怲,"be anxious, be grieved, be sad"
U+6033,怳,"wild, mad; flurried"
U+6035,怵,"fear, be afraid; shy, timid"
U+6036,怶,(Cant.) to have no zeal at all
U+6038,怸,to be familiar with; a kind of medicine
U+6039,怹,a polite version of he
U+603A,怺,to endure
U+603B,总,"collect; overall, altogether"
U+603C,怼,"hate, abhor; hatred, resentment"
U+603E,怾,mountain name
U+603F,怿,"enjoy, be glad, be pleased"
U+6040,恀,trust
U+6041,恁,"that, like this, thus, so, such"
U+6042,恂,"careful, sincere, honest; trust"
U+6043,恃,"rely on, presume on, trust to"
U+6046,恆,"constant, regular, persistent; hexagram ䷟"
U+6047,恇,fear
U+6049,恉,"meaning, purport, drift"
U+604A,恊,be united; cooperate
U+604B,恋,"love; long for, yearn for; love"
U+604C,恌,to worry; frivolous
U+604D,恍,seemingly; absent-minded
U+6050,恐,"fear; fearful, apprehensive"
U+6051,恑,to change; to alter; to accommodate oneself to
U+6052,恒,"constant, regular, persistent"
U+6053,恓,vexed
U+6054,恔,"cheerful; bright, sagacious"
U+6055,恕,"forgive, excuse, show mercy"
U+6059,恙,"illness, sickness; indisposition"
U+605A,恚,"anger, rage"
U+605B,恛,disordered; indistinct doubtful; blurred
U+605D,恝,carefree; indifferent manner; without sorrow
U+605F,恟,"scared, nervous"
U+6060,恠,"strange, unusual, peculiar"
U+6061,恡,"stingy, sparing of; close-fisted"
U+6062,恢,"restore; big, great, immense, vast"
U+6063,恣,"indulge oneself, unrestrained"
U+6064,恤,"show pity; relieve, help"
U+6065,恥,"shame, humiliation; ashamed"
U+6067,恧,ashamed
U+6068,恨,"hatred, dislike; resent, hate"
U+6069,恩,"kindness, mercy, charity"
U+606A,恪,"respectful, reverent"
U+606B,恫,"in pain, sorrowful"
U+606C,恬,"quiet, calm, tranquil, peaceful"
U+606D,恭,"respectful, polite, reverent"
U+606F,息,"rest, put stop to, end, cease"
U+6070,恰,"just, exactly, precisely; proper"
U+6073,恳,"sincere, earnest, cordial"
U+6075,恵,"favor, benefit, confer kindness"
U+6076,恶,"evil, wicked, bad, foul"
U+6078,恸,"sadness, grief; mourn; be moved"
U+6079,恹,"feeble, sickly; tranquil, calm"
U+607A,恺,"enjoy, be contented, joyful"
U+607B,恻,"feel anguish, feel compassion"
U+607C,恼,"angered, filled with hate"
U+607D,恽,"devise, plan, deliberate; consult"
U+607F,恿,"instigate, incite; to alarm"
U+6081,悁,"irritable, nervous, impatient"
U+6083,悃,"sincere, genuine, honest, loyal"
U+6084,悄,"silent, quiet, still; anxious"
U+6085,悅,pleased
U+6086,悆,happy
U+6088,悈,to enjoin upon; urgent
U+6089,悉,"know, learn about, comprehend"
U+608A,悊,wise. to know intuitively
U+608B,悋,"stingy, sparing of; closefisted"
U+608C,悌,"brotherly, respectful"
U+608D,悍,"courageous, brave; violent"
U+6090,悐,"respect, regard; to stand in awe of, to be alarmed"
U+6092,悒,"sorrowful, depressed, unhappy"
U+6094,悔,"repent, show remorse, regret"
U+6096,悖,"be contradictory to, go counter"
U+609A,悚,"afraid, scared, frightened"
U+609B,悛,"repent, reform"
U+609C,悜,obscure
U+609D,悝,"to laugh at to pity; afflicted, sad"
U+609E,悞,"impede; neglect, delay"
U+609F,悟,"to apprehend, realize, become aware"
U+60A0,悠,"long, far, remote, distant; leisurely"
U+60A3,患,"suffer, worry about; suffering"
U+60A4,悤,"agitated, restless, hurried"
U+60A6,悦,"pleased, contented, gratified"
U+60A7,悧,"smooth; active; clever, sharp"
U+60A8,您,honorific for 'you'
U+60A9,悩,"angered, filled with hate"
U+60AA,悪,"evil, wicked, bad, foul"
U+60AB,悫,"sincerity, honesty; modest"
U+60AC,悬,"hang, suspend, hoist; be hung"
U+60AD,悭,"miserly, parsimonious, stingy"
U+60AE,悮,"impede; neglect, delay"
U+60AF,悯,"pity, sympathize with, grieve for"
U+60B0,悰,"enjoy, amuse, please; joy"
U+60B1,悱,to be desirous of speaking
U+60B2,悲,"sorrow, grief; sorry, sad"
U+60B3,悳,"ethics, morality, virtue"
U+60B4,悴,"suffer, become emaciated, haggard"
U+60B5,悵,"disappointed, dissatisfied"
U+60B6,悶,"gloomy, depressed, melancholy"
U+60B8,悸,"fearful, apprehensive, perturbed"
U+60BB,悻,"anger, vexation; angry, indignant"
U+60BC,悼,"grieve, mourn, lament; grieved"
U+60BD,悽,"sorrowful, grieved, melancholy"
U+60BE,悾,"naive, guileless, simple-minded"
U+60C4,惄,long for; hungry
U+60C5,情,"feeling, sentiment, emotion"
U+60C6,惆,"distressed, regretful, sad"
U+60C7,惇,"be kind, cordial, sincere"
U+60CA,惊,"frighten, surprise, startle"
U+60CB,惋,"regret, be sorry; alarmed"
U+60CC,惌,to bear a grudge against
U+60CE,惎,"injure, harm, murder"
U+60CF,惏,avaricious; greedy cold
U+60D1,惑,"confuse, mislead, baffle; doubt"
U+60D3,惓,"careful, sincere, candid"
U+60D4,惔,cheerful
U+60D5,惕,"be cautious, careful, alert"
U+60D6,惖,respect; fear
U+60D7,惗,"(Cant.) to think, consider"
U+60D8,惘,"disconcerted, dejected, discouraged"
U+60D9,惙,"sad, melancholy, grieving, mournful"
U+60DA,惚,"absent-minded, confused"
U+60DB,惛,"confused, stupid, dull, senile"
U+60DC,惜,"pity, regret, rue, begrudge"
U+60DD,惝,"alarmed, agitated"
U+60DF,惟,"but, however, nevertheless; only"
U+60E0,惠,"favor, benefit, confer kindness"
U+60E1,惡,"evil, wicked, bad, foul"
U+60E3,惣,overall [questionable variant]
U+60E6,惦,"think of, remember, miss"
U+60E7,惧,"fear, be afraid of, dread"
U+60E8,惨,"sad, pitiful, wretched; cruel"
U+60E9,惩,"punish, reprimand; warn"
U+60EA,惪,ethics
U+60EB,惫,"tired, weary, fatigued"
U+60EC,惬,"be satisfied, be comfortable"
U+60ED,惭,"ashamed, humiliated; shameful"
U+60EE,惮,"dread, shrink from, shirk, fear"
U+60EF,惯,"habit, custom; habitually, usual"
U+60F0,惰,"indolent, careless, lazy, idle"
U+60F1,惱,"angered, filled with hate"
U+60F2,惲,"devise, plan, deliberate; consult"
U+60F3,想,"think, speculate, plan, consider"
U+60F4,惴,"afraid, apprehensive, nervous"
U+60F6,惶,"fearful, afraid, anxious, nervous"
U+60F7,惷,wriggle; stupid; silly; fat
U+60F8,惸,"troubled, worried, distressed"
U+60F9,惹,"irritate, vex, offend, incite"
U+60FA,惺,"intelligent, clever, astute"
U+60FB,惻,"feel anguish, feel compassion"
U+60FC,惼,narrow-minded
U+60FD,惽,confused
U+6100,愀,"to change one's countenance, be anxious; to blush"
U+6101,愁,"anxiety; to worry about, be anxious"
U+6103,愃,relax
U+6106,愆,"a fault, mistake, error, transgression"
U+6108,愈,"more and more, even more"
U+6109,愉,"pleasant, delightful; please"
U+610A,愊,"sincere, honest; depressed"
U+610D,愍,"pity, sympathize with"
U+610E,愎,"obstinate, stubborn, headstrong"
U+610F,意,"thought, idea, opinion; think"
U+6110,愐,bashful; to consider
U+6112,愒,"rest, stop"
U+6113,愓,profligate
U+6114,愔,"comfortable, contented, peaceful"
U+6115,愕,"startled, alarmed, astonished"
U+6116,愖,to hesitate
U+6119,愙,"respectful, reverent"
U+611A,愚,"stupid, doltish, foolish"
U+611B,愛,"love, be fond of, like"
U+611C,愜,"be satisfied, be comfortable"
U+611E,愞,"timid, apprehensive"
U+611F,感,"feel, perceive, emotion"
U+6120,愠,angry
U+6121,愡,"absent-minded, confused"
U+6122,愢,hesitant; modest
U+6123,愣,be in a daze
U+6124,愤,"resent, hate; indignant"
U+6126,愦,"confused, troubled, muddle-headed"
U+6127,愧,"ashamed, conscience-stricken"
U+6128,愨,"sincerity, honesty; cautious"
U+612A,愪,"to be grieved, sad"
U+612B,愫,"guileless, sincere, honest"
U+612C,愬,accuse; sue; inform; narrate
U+612E,愮,"distressed, agitated"
U+6130,愰,clearness of mind; doubtful; uncertain
U+6134,愴,"sad, broken-hearted, disconsolate"
U+6137,愷,"enjoy, be contented, joyful"
U+613B,愻,"to yield, accord; humble, modest"
U+613C,愼,"act with care, be cautious"
U+613D,愽,"gamble, play games; wide, broad"
U+613E,愾,"anger, wrath, hatred, enmity"
U+613F,愿,"sincere, honest, virtuous"
U+6141,慁,"dishonor, disobey; insult"
U+6142,慂,"urge, incite, egg-on"
U+6144,慄,"shiver, shudder, tremble; tremble"
U+6145,慅,agitated
U+6146,慆,"excessive, dissolute; delighted"
U+6147,慇,"careful, anxious, attentive"
U+6148,慈,"kind, charitable, benevolent"
U+6149,慉,to bring up; to raise
U+614A,慊,to resent; contended; satisfied
U+614B,態,"manner, bearing, attitude"
U+614C,慌,"nervous, panicky, frantic"
U+614D,慍,"angry, indignant, resentful"
U+614E,慎,"act with care, be cautious"
U+6151,慑,"afraid, scared, fearful"
U+6153,慓,nimble
U+6155,慕,"long for, desire; admire"
U+6158,慘,"sad, pitiful, wretched; cruel"
U+6159,慙,"ashamed, humiliated; shameful"
U+615A,慚,"ashamed, humiliated; shameful"
U+615C,慜,name of a monk in Tang dynasty
U+615D,慝,"do evil in secret; evil, vice"
U+615E,慞,"terrified, alarmed"
U+615F,慟,"sadness, grief; mourn; be moved"
U+6162,慢,"slow(ly), leisurely, sluggish"
U+6163,慣,"habit, custom; habitually, usually"
U+6164,慤,"sincerity, honesty; modest"
U+6165,慥,"sincere, earnest"
U+6167,慧,"bright, intelligent; intelligence"
U+6168,慨,"sigh, regret; generous"
U+616A,慪,annoyed
U+616B,慫,"to alarm; to instigate, arouse, incite"
U+616C,慬,brave; cautious; sad
U+616D,慭,cautious; willing; but
U+616E,慮,"be concerned, worry about"
U+6170,慰,"comfort, console, calm"
U+6171,慱,sad
U+6173,慳,"miserly, parsimonious, stingy"
U+6174,慴,"fear; terrified, fearful; fear"
U+6175,慵,"indolent, easy-going, lazy"
U+6176,慶,"congratulate, celebrate"
U+6177,慷,"ardent; generous, magnanimous"
U+617A,慺,"(simplified form of 慺) diligent; industrious; sedulous, to encourage; to make efforts"
U+617C,慼,"sorrowful, mournful; sorrow"
U+617D,慽,"sorrowful, mournful; sorrow"
U+617E,慾,"lust, desire, passion; appetite"
U+6180,憀,to rely on
U+6182,憂,"sad, grieved; grief, melancholy"
U+6183,憃,"foolish, stupid, dull, silly"
U+6187,憇,"rest, take rest"
U+618A,憊,"tired, weary, fatigued"
U+618B,憋,to suppress inner feelings; hasty
U+618D,憍,"be haughty, proud, arrogant"
U+618E,憎,"hate, detest, abhor; hatred"
U+6190,憐,"pity, sympathize"
U+6191,憑,"lean on, depend on, rely on"
U+6192,憒,"confused, troubled, muddle-headed"
U+6193,憓,"benefit, favor; follow, obey"
U+6194,憔,"be worn-out, emaciated, haggard"
U+6196,憖,"cautious; willing; but, moreover"
U+6198,憘,"like, love, enjoy; joyful thing"
U+6199,憙,"like, love, enjoy; joyful thing"
U+619A,憚,"dread, shrink from, shirk, fear"
U+619D,憝,"to dislike, to abhor, to hate"
U+61A4,憤,"resent, hate; indignant"
U+61A6,憦,regret
U+61A7,憧,"irresolute, indecisive; yearn for"
U+61A8,憨,"foolish, silly, coquettish"
U+61A9,憩,"rest, take rest"
U+61AA,憪,"composed, contented"
U+61AB,憫,"pity, sympathize with, grieve for"
U+61AC,憬,"rouse, awaken; become conscious"
U+61AD,憭,clear; intelligible; severe; cold
U+61AE,憮,"regretful, disappointed"
U+61AF,憯,"sorrowful, sad; already, nevertheless"
U+61B0,憰,"wily, time-serving; to feign, to act the hypocrite"
U+61B2,憲,"constitution, statute, law"
U+61B5,憵,(Cant.) to rush
U+61B6,憶,"remember, reflect upon; memory"
U+61B7,憷,painful; suffering; privation
U+61B8,憸,"to flatter; crafty, having a specious tongue"
U+61B9,憹,upset; to regret
U+61BA,憺,peace
U+61BE,憾,"to regret, remorse; dissatisfied"
U+61C1,懁,"anxious, distressed"
U+61C2,懂,"understand, comprehend"
U+61C3,懃,"courteous, cordial; zealous"
U+61C4,懄,grief
U+61C5,懅,bashful; ashamed
U+61C6,懆,"anxious, apprehensive"
U+61C7,懇,"sincere, earnest, cordial"
U+61C8,懈,"idle, relaxed, remiss"
U+61C9,應,"should, ought to, must"
U+61CA,懊,"vexed, worried, nervous; regret"
U+61CB,懋,"splendid, grand, majestic"
U+61CC,懌,"enjoy, be glad, be pleased"
U+61CD,懍,"be afraid of, be awed by, be in awe"
U+61D0,懐,"bosom, breast; carry in bosom"
U+61D1,懑,"be sick at heart, sorrowful, sad"
U+61D2,懒,"lazy, languid, listless"
U+61D4,懔,"be afraid of, to be in awe of"
U+61D5,懕,satiated; contented
U+61DB,懛,"alarmed, scared; stupid"
U+61DC,懜,"dull, stupid, doltish"
U+61DE,懞,(variant of 蒙)
U+61DF,懟,"hate, abhor; hatred, resentment"
U+61E0,懠,angry
U+61E3,懣,"be sick at heart, sorrowful, sad"
U+61E4,懤,"grieved, pained"
U+61E5,懥,"angry, enraged, resentful; hate"
U+61E6,懦,"weak, timid, cowardly"
U+61E7,懧,to have wisdom; intelligent
U+61E8,懨,"feeble, sickly; tranquil, calm"
U+61EB,懫,enraged; resentful.to hate. to desist
U+61EE,懮,"calm, leisurely; procrastinating"
U+61F0,懰,"be glad, pleased, delighted"
U+61F2,懲,"punish, reprimand; warn"
U+61F4,懴,"regret, repent; confess sins"
U+61F5,懵,"stupid, ignorant, dull"
U+61F6,懶,"lazy, languid, listless"
U+61F7,懷,"bosom, breast; carry in bosom"
U+61F8,懸,"hang, suspend, hoist; be hung"
U+61FA,懺,"regret, repent; confess sins"
U+61FB,懻,"overbearing, crafty"
U+61FC,懼,"fear, be afraid of, dread"
U+61FD,懽,"happy, pleased, glad, joyous"
U+61FE,懾,"afraid, scared, fearful"
U+61FF,懿,"virtuous, admirable, esteemed"
U+6200,戀,"love; long for, yearn for; love"
U+6201,戁,fear
U+6204,戄,to be in awe of; to fear
U+6205,戅,"stupid, simple, foolish"
U+6206,戆,"stupid, simple, simple-minded"
U+6207,戇,"stupid, simple, simple-minded"
U+6208,戈,"halberd, spear, lance; rad. 62"
U+6209,戉,"a battle-axe, a halberd"
U+620A,戊,5th heavenly stem
U+620B,戋,"small, narrow, tiny, little"
U+620C,戌,eleventh earthly branch
U+620D,戍,"defend borders, guard frontiers"
U+620E,戎,"arms, armaments; military affair"
U+620F,戏,"theatrical play, show"
U+6210,成,"completed, finished, fixed"
U+6211,我,"our, us, i, me, my, we"
U+6212,戒,"warn, caution, admonish"
U+6214,戔,"small, narrow, tiny, little"
U+6215,戕,"kill, slay; wound, injure, hurt"
U+6216,或,"or, either, else; perhaps, maybe"
U+6217,戗,support
U+6218,战,"war, fighting, battle"
U+6219,戙,(Cant.) to trap; upright; a pile
U+621A,戚,relative; be related to; sad
U+621B,戛,lance; tap or strike lightly
U+621C,戜,to scrape; advantageous
U+621D,戝,"pirate, thief"
U+621E,戞,lance; tap or strike lightly
U+621F,戟,halberd with crescent blade
U+6220,戠,a sword; potter's clay; to gather
U+6221,戡,"subjugate, subdue, quell; kill"
U+6222,戢,to put away; to cease; store up
U+6223,戣,lance
U+6224,戤,to infringe a trade-mark to pledge an article
U+6225,戥,"a small steelyard for weighing money, etc."
U+6226,戦,"war, fighting, battle"
U+6227,戧,support
U+6229,戩,"exterminate, destroy; blessing"
U+622A,截,"cut off, stop, obstruct, intersect"
U+622C,戬,"exterminate, destroy; blessing"
U+622D,戭,spear
U+622E,戮,"kill, massacre; oppress"
U+622F,戯,"theatrical play, show"
U+6230,戰,"war, fighting, battle"
U+6231,戱,theatrical play
U+6232,戲,"theatrical play, show"
U+6233,戳,"prick, stab; stamp, seal, chop"
U+6234,戴,wear on top; support
U+6235,戵,a halberd
U+6236,戶,"door; family, household"
U+6237,户,door; family
U+6238,戸,door; family
U+6239,戹,"In difficulty, distressed"
U+623A,戺,stone boarder; steps
U+623B,戻,perverse
U+623C,戼,fourth earthly branch
U+623D,戽,to bale out water
U+623E,戾,"perverse, recalcitrant, rebellious"
U+623F,房,"house, building; room; 4th lunar mansion, determinative star π Scorpii"
U+6240,所,"place, location; numerary adjunct"
U+6241,扁,"flat; tablet, signboard"
U+6243,扃,a door bar placed outside a door
U+6244,扄,large ring on a front door used as a knocker
U+6245,扅,"gate bar, bolt"
U+6246,扆,screen
U+6247,扇,fan; door panel
U+6248,扈,"escort, retinue; insolent"
U+6249,扉,door panel
U+624A,扊,upright bar for fastening door
U+624B,手,hand
U+624C,扌,hand; radical number 64
U+624D,才,"talent, ability; just, only"
U+624E,扎,pull up; pierce; struggle free
U+6250,扐,divine
U+6251,扑,"pound, beat, strike; attack"
U+6252,扒,scratch; dig up; crawl; crouch
U+6253,打,"strike, hit, beat; fight; attack"
U+6254,扔,"throw, hurl; throw away, cast"
U+6255,払,"shake off, brush away; dust"
U+6258,托,"to hold up with palm; to support, rely on"
U+625B,扛,carry on shoulders; lift
U+625E,扞,"ward off, withstand, resist"
U+6260,扠,pick up with fork or pincers
U+6261,扡,drag along
U+6262,扢,caper
U+6263,扣,"knock, strike, rap, tap; button"
U+6264,扤,to thrust; to move
U+6266,扦,"probe, poke, prick, pierce"
U+6267,执,hold in hand; keep; carry out
U+6268,扨,pick up with fork or pincers
U+6269,扩,"expand, enlarge, stretch"
U+626A,扪,"stoke, pat, feel by hand, grope"
U+626B,扫,"sweep, clear away; exterminate"
U+626C,扬,"scatter, spread; praise"
U+626D,扭,"turn, twist, wrench; seize, grasp"
U+626E,扮,dress up; dress up as
U+626F,扯,"rip up, tear down; raise; haul"
U+6270,扰,"disturb, annoy, agitate"
U+6271,扱,"collect, draw in, gather; receive"
U+6272,扲,(Cant.) to pull out
U+6273,扳,pull; drag; right itself
U+6275,扵,"in, on, at, by, from; than; with reference to; compared with"
U+6276,扶,"support, help; protect; hold on"
U+6279,批,"comment, criticize; wholesale"
U+627A,扺,to strike one's palm with one's fist
U+627B,扻,"to strike; to run against to throw, as a stone"
U+627C,扼,"grasp, clutch; choke, strangle"
U+627D,扽,"to move, to shake"
U+627E,找,"search, seek, look for; find"
U+627F,承,"inherit, receive; succeed"
U+6280,技,"skill, ability, talent, ingenuity"
U+6283,抃,to clap hands; to cheer
U+6284,抄,"copy, confiscate, seize"
U+6285,抅,to collect; to join together
U+6286,抆,"wipe, rub off"
U+6288,抈,to bend
U+6289,抉,"choose, select; gouge, pluck out"
U+628A,把,"hold, take; guard; regard as"
U+628C,抌,"to bale out water, to dip"
U+628D,抍,"to lift up; to rescue, save"
U+6291,抑,"press down, repress; curb, hinder"
U+6292,抒,express; eliminate; relieve
U+6293,抓,"scratch; clutch, seize, grab"
U+6294,抔,take or hold up in both hands
U+6295,投,"throw, cast, fling, pitch; jump"
U+6296,抖,"tremble, shake, rouse; give shake"
U+6297,抗,"resist, oppose, defy, reject"
U+6298,折,"break off, snap; bend"
U+629A,抚,"pat, console, comfort; pacify"
U+629B,抛,throw (away)
U+629C,抜,"uproot, pull out"
U+629D,抝,"to bend, break; to argue"
U+629E,択,"select, choose, pick out"
U+629F,抟,roll around with hand; model
U+62A0,抠,"raise, lift up; tight-fisted"
U+62A1,抡,"swing, brandish, flourish"
U+62A2,抢,"plunder, rob, take by force"
U+62A4,护,"protect, guard, defend, shelter"
U+62A5,报,"report, tell, announce"
U+62A6,抦,(Cant.) to beat
U+62A8,抨,"impeach, censure; attack"
U+62AA,抪,"to scatter, spread"
U+62AB,披,wear; split; crack
U+62AC,抬,"lift, carry"
U+62AE,抮,"to revolve, rotate"
U+62AF,抯,"(Cant.) to grasp, hold"
U+62B0,抰,"to shake (clothes, etc.)"
U+62B1,抱,"embrace, hold in arms, enfold"
U+62B3,抳,"(Cant.) to crush, mash, grind"
U+62B4,抴,to drag; to join
U+62B5,抵,"resist, oppose; deny; off-set"
U+62B6,抶,beat
U+62B9,抹,"smear, apply, wipe off, erase"
U+62BB,抻,pull
U+62BC,押,"mortgage, pledge; deposit; to pawn; to arrest, detain, guard"
U+62BD,抽,"draw out, pull out; sprout"
U+62BF,抿,pucker up lips in smile; press
U+62C2,拂,"shake off, brush away; dust"
U+62C3,拃,"grope, press, span"
U+62C4,拄,lean on; post; prod; ridicule
U+62C5,担,"carry, bear, undertake"
U+62C6,拆,"to break up, split apart, rip open; to destroy"
U+62C7,拇,thumb; big toe
U+62C8,拈,pick up with fingers; draw lots
U+62C9,拉,"pull, drag; seize, hold; lengthen"
U+62CA,拊,slap; pat; tap; handle of a vessel
U+62CB,拋,"throw (away), abandon, reject"
U+62CC,拌,mix
U+62CD,拍,"clap, tap, beat; beat or rhythm"
U+62CE,拎,to haul; to lift; to take
U+62CF,拏,"take; bring; grasp, hold; arrest"
U+62D0,拐,"kidnap, abduct; turn"
U+62D1,拑,"to clamp, tie down or pin down"
U+62D2,拒,"ward off with hand, defend"
U+62D3,拓,expand; open up; support or push
U+62D4,拔,"uproot, pull out"
U+62D5,拕,"to drag after, to drag out, from which comes:to involve, to delay, to implicate"
U+62D6,拖,"drag, tow, haul; delay, prolong"
U+62D7,拗,"to pull, drag, break off, to pluck (a flower); bent, warped; perverse, obstinate"
U+62D8,拘,"restrain, seize, detain"
U+62D9,拙,"stupid, clumsy, crude; convention"
U+62DA,拚,"risk, disregard; go all out for"
U+62DB,招,"beckon, summon; recruit, levy"
U+62DC,拜,"do obeisance, bow, kowtow"
U+62DD,拝,"do obeisance, bow, kowtow"
U+62DF,拟,"draft; intend, plan, propose"
U+62E0,拠,"to occupy, take possession of; a base, position"
U+62E1,拡,"expand, enlarge, stretch"
U+62E2,拢,"collect, bring together"
U+62E3,拣,choose; select; pick up; gather
U+62E5,拥,"embrace, hug, squeeze; crowd"
U+62E6,拦,"obstruct, impede, bar, hinder"
U+62E7,拧,"pinch; twist, wring; determined"
U+62E8,拨,move; dispel; distribute
U+62E9,择,"select, choose, pick out"
U+62EB,拫,to pull; to drag; to stop; (Cant.) to turn fast
U+62EC,括,"include, embrace, enclose"
U+62ED,拭,wipe away stains with cloth
U+62EE,拮,"laboring hard, occupied; pursue"
U+62EF,拯,"help, save, aid; lift, raise"
U+62F1,拱,"fold hands on breast; bow, salute"
U+62F3,拳,fist; various forms of boxing
U+62F4,拴,"bind with rope, fasten"
U+62F5,拵,"to make, prepare, manufacture; workmanship; an arrangement"
U+62F6,拶,"press, squeeze hard; force"
U+62F7,拷,torture and interrogate; hit
U+62FC,拼,"join together, link, incorporate"
U+62FD,拽,"drag, tow; throw; twist"
U+62FE,拾,"pick up, collect, tidy up; accounting form of the numeral ten"
U+62FF,拿,"take, hold, grasp; bring; with"
U+6301,持,"sustain, support; hold, grasp"
U+6302,挂,"hang, suspend; suspense"
U+6303,挃,(Cant.) to beat
U+6307,指,"finger, toe; point, indicate"
U+6308,挈,"assist, help, lead by hand"
U+6309,按,"put hand on, press down with hand"
U+630C,挌,fight
U+630D,挍,collate; (Cant.) to scratch
U+630E,挎,carry
U+630F,挏,(Cant.) to dredge or poke with a pole or stick
U+6310,挐,drag
U+6311,挑,a load carried on the shoulders; to carry
U+6313,挓,to open out; to expand
U+6316,挖,"dig, dig out, gouge out, scoop"
U+6318,挘,"to pluck, pick, tear; (Cant.) rubbing action"
U+6319,挙,"raise, lift up; recommend"
U+631A,挚,"sincere, warm, cordial; surname"
U+631B,挛,tangled; entwined; crooked
U+631C,挜,take; hold; give forcefully
U+631D,挝,to beat; to strike
U+631E,挞,"flog, whip; chastise"
U+631F,挟,clasp under arm; hold to bosom
U+6320,挠,"scratch; disturb, bother; submit"
U+6321,挡,"obstruct, impede; stop; resist"
U+6322,挢,correct
U+6323,挣,"strive, endeavor, struggle"
U+6324,挤,"crowd, squeeze, push against"
U+6325,挥,direct; wipe away; squander
U+6326,挦,"pull out, pluck; take hold of"
U+6328,挨,"near, close by, next to, towards, against; to wait; to lean on"
U+632A,挪,"move, shift on one side"
U+632B,挫,push down; chop down; grind
U+632D,挭,"fish-bones, things that stick in the throat; unyielding, blunt of speech; (Cant.) to stir, mix, agitate; to wade"
U+632F,振,"raise, excite, arouse action"
U+6331,挱,to feel or fondle with the fingers
U+6332,挲,to feel or fondle with the fingers
U+6335,挵,"to play with, handle things"
U+6336,挶,hold in hands
U+6337,挷,to propel a boat; to beat
U+6339,挹,to bale out; to decant liquids
U+633A,挺,"to stand upright, straighten; rigid"
U+633C,挼,"rub, stroke with hands; crumple"
U+633D,挽,"pull; pull back, draw back"
U+633E,挾,clasp under arm; hold to bosom
U+633F,挿,"insert, stick into; plant"
U+6342,捂,resist
U+6343,捃,"to pick up, collect"
U+6344,捄,long and curved
U+6345,捅,jab
U+6346,捆,"tie up; bind, truss up; bundle"
U+6349,捉,"grasp, clutch; catch, seize"
U+634B,捋,to pluck; to gather in the fingers; to rub; to scrape off
U+634C,捌,"break open, split open; an accounting version of the numeral eight"
U+634D,捍,"ward off, guard against, defend"
U+634E,捎,to select; to take; to carry
U+634F,捏,pick with fingers; knead; mold
U+6350,捐,"contribute; give up, renounce"
U+6353,捓,"strive, endeavor"
U+6354,捔,"to gore, stab"
U+6355,捕,"arrest, catch, seize"
U+6357,捗,make progress
U+6358,捘,push
U+635C,捜,"search, seek; investigate"
U+635E,捞,"scoop out of water; dredge, fish"
U+635F,损,diminish; impair; injure
U+6361,捡,to pick up
U+6362,换,change
U+6363,捣,"hull; thresh; beat, attack"
U+6365,捥,to bend the wrist
U+6366,捦,to seize; to clutch; to arrest; to capture; (Cant.) to climb
U+6367,捧,hold up in two hands
U+6368,捨,"discard, give up willingly; give alms"
U+6369,捩,"twist with hands; snap, tear"
U+636B,捫,"stoke, pat, feel by hand, grope"
U+636C,捬,press down heavily with hands
U+636D,捭,to open; to spread out
U+636E,据,"to occupy, take possession of; a base, position"
U+636F,捯,pull back continuously on a rope or line with both hands
U+6371,捱,"put off, procrastinate; endure"
U+6372,捲,"curl, roll up; curly, rolled up"
U+6375,捵,(Cant.) to hold between the fingers and thumb
U+6376,捶,"strike with stick, lash, beat"
U+6377,捷,"win, victory, triumph"
U+6379,捹,"to fumble things over, mix up; (Cant.) to swing, fling; to flick off, throw off; to jerk"
U+637A,捺,to press down heavily with the fingers
U+637B,捻,to twist or nip with the fingers
U+637C,捼,to rub; to crumple
U+637D,捽,"clutch, grasp; pull up; contradict"
U+637F,捿,perch; roost; stay
U+6380,掀,"lift, raise; stir"
U+6382,掂,"heft, hold or weigh in palm"
U+6383,掃,"sweep, clear away; exterminate"
U+6384,掄,"swing, brandish, flourish"
U+6385,掅,"(Cant.) to lift up; to seize, grab"
U+6386,掆,"(a simplified form of 掆) to carry on the shoulders of two or more men, to raise"
U+6387,掇,"collect, gather up, pick up"
U+6388,授,"give to, transmit; confer"
U+6389,掉,"turn, move; shake, wag; drop down"
U+638A,掊,to extract; injure
U+638C,掌,"palm of hand, sole of foot, paw"
U+638E,掎,"drag aside, pull; drag one foot"
U+638F,掏,take out; pull out; clean out
U+6390,掐,hold; gather with hand; choke
U+6392,排,"row, rank, line"
U+6394,掔,sturdy
U+6396,掖,"support with the arms; stick in, tuck in; fold up"
U+6397,掗,take; hold; give forcefully
U+6398,掘,"dig, excavate; excavate cave"
U+6399,掙,"to strive, endeavor, struggle; to earn; to pierce; to wedge in"
U+639B,掛,"hang, suspend; suspense"
U+639E,掞,"easy, smooth; quiet; suave"
U+639F,掟,"law, commandments, regulations; (Cant.) to throw"
U+63A0,掠,"rob, ransack, plunder; pass by"
U+63A1,採,"gather, collect; pick, select"
U+63A2,探,"find, locate; search, grope for"
U+63A3,掣,"drag, pull; hinder by pulling back"
